feature,importance
height,0.074515715
weight,0.055933986
sbert_23,0.040726952
sbert_5,0.03733224
sbert_21,0.035302117
sbert_14,0.028346408
sbert_11,0.028039321
sbert_15,0.027712325
sbert_16,0.026004191
sbert_8,0.025474962
sbert_7,0.024700884
sbert_25,0.023132317
sbert_10,0.0229512
sbert_1,0.022773867
sbert_17,0.022354031
is_self_intro_missing,0.021674406
sbert_24,0.02119854
sbert_22,0.02119097
is_sleepiness_missing,0.020898726
is_iq_high,0.020209214
fb_friends,0.019880358
bmi,0.019455155
sbert_28,0.019222423
sbert_20,0.019049305
sbert_13,0.018830879
is_star_sign_missing,0.018684521
sbert_27,0.018602137
sbert_3,0.018251894
height_weight_ratio,0.018068267
sbert_9,0.01792295
iq,0.017453395
sbert_18,0.016917119
sleepiness,0.016520133
sbert_26,0.01584246
sbert_4,0.015713256
sbert_29,0.015297326
social_activity,0.014023162
sbert_19,0.013742464
yt,0.013428268
data_completeness,0.0132933855
sbert_0,0.012396761
is_height_missing,0.01172711
sbert_2,0.010702323
sbert_6,0.010660164
sbert_12,0.010408635
total_missing,0.003385389
total_outliers,3.913373e-05
is_yt_missing,9.140616e-06
is_phone_os_missing,0.0
is_fb_missing,0.0
is_weight_missing,0.0
is_iq_missing,0.0
is_height_high,0.0
is_weight_low,0.0
is_weight_high,0.0
is_height_low,0.0
is_fb_meme,0.0
is_sleepiness_abnormal,0.0
is_fb_high,0.0
is_iq_low,0.0
